AC Type,City,Cn/Ln,Country,Date,Location,Operator,Registration,Route,Summary,Time,Aboard,Aboard Crew,Aboard Passangers,Crashes,Fatalities,Fatalities Crew,Fatalities Passangers,Flight #,Ground
ATR 72-500,Magong,642, Taiwan,7/23/2014,"Magong, Taiwan",TransAsia Airways,B-22810,Kaohsiung - Magong,"The passenger plane crashed into residential building while attempting to make an emergency landing during inclement weather due to the passing of hurricane Matmo.  The flight recorder revealed that after the the crew lost track of its flight path and moved away from the runway, the plane rapidly lost altitude and crashed to the ground in a period of 7.9 seconds. By the time the two pilots yelled to go around, there was nothing they could do to change the velocity and altitude of the plane in time to prevent a crash. The airport's control tower did not inform the aircraft of local weather conditions.The cause was  pilot error and a failure within the airline to follow safety procedures.",12/30/1899 7:06:00 PM,58,4,54,1,48,4,44,222,0
Mc Donnell Douglas MD-83,Aguelhok,53190/2148, Mali,7/24/2014,"Aguelhok, Mali",Air Algerie,EC-LTV,"Ouagadougou, Burkina Faso - Algiers, Algeria","Radar contact was lost 50 minutes after the flight took off from Ouagadougou and after the crew diverted from their planned course due to bad weather. Wreckage was found in the northern mali dessert. The plane was on loan from Swiftair. The crew likely did not activate the system during climb and cruise. As a result of the icing of the pressure sensors, the erroneous information transmitted to the auto throttle meant that the latter limited the thrust delivered by the engines. Under these conditions, the thrust was insufficient to maintain cruise speed and the aeroplane slowed down and stalled.",12/30/1899 1:47:00 AM,116,6,110,1,116,6,110,,0
HESA Iran-140-100,Tehran,9005, Iran,8/10/2014,"Tehran, Iran",Sepahan Airlines,EP-GPA,Tehran - Tabas,"After taking off, the passenger banked to the right, lost altitude, and crashed into a residential neighborhood, bursting into flames. The plane appeared to have lost an engine during the takeoff. Excessive load and malfuncioning propeller.",12/30/1899 9:18:00 AM,48,8,40,1,39,8,31,5915,0
Antonov An-12BK,Tamanraset,8345802, Algeria,8/30/2014,"Tamanraset, Algeria",Ukraine Air Alliance,UR-DWF,Glascow -Tamanraset - Equitorial Guinea,"The cargo plane crashed in the mountainous southeastern region of Algereia, 15 km south of the airport, shortly after taking off.",12/30/1899 2:44:00 AM,7,2,5,1,7,2,5,,0
Fokker F-27 MK 500,Mwanza,10681, Tanzania,8/31/2014,"Mwanza, Tanzania",Safari Express Cargo,5Y-SXP,Mwanza - Nairobi,"The cargo plane crashed within the borders of Serengeti National Park not far from the Kenya - Tanzania border, shortly after taking off from Mwanza.",12/30/1899 7:45:00 PM,3,2,1,1,3,2,1,,0
de Havilland Canada DHC-6 Twin Otter 300,Near Port Moresby,528, Papua New Guinea,9/20/2014,"Near Port Moresby, Papua New Guinea",Hevlift,P2-KSV,Woitape - Port Moresby,"While approaching Port Moresby Jacksons International Airport, the unscheduled passenger plane impacted terrain near the top of Mt. Lawes, 7 miles east northeast of the airport in poor weather. The pl;ane was too low for unknown reasons.",12/30/1899 9:35:00 AM,9,2,7,1,4,2,2,,0
Bell 206L,Wichita Falls,, Texas,10/4/2014,"Wichita Falls, Texas",Air Evac Lifeteam,,"Waurika, OK - Wichita Falls, TX","The air ambulance crashed while transporting a patient from Waurika, Oklahoma to United Regional Health Center. The patient was killed and 3 crew members injured.",12/30/1899 1:56:00 AM,4,3,1,1,2,1,1,,0
Antonov An-26,Near Uvira,8606, Congo,12/28/2014,"Near Uvira, Congo",Air Sirin,4L-AFS,"Bujumbura, Burundi - Pointe Noire, Congo",The cargo plane impacted a mountainside while en route.,12/30/1899 3:00:00 AM,6,6,0,1,6,6,0,902,0
Airbus A-320-216,Java Sea,3648,Java Sea,12/28/2014,Java Sea,AirAsia,PK-AXC,Surabaya - Singapore,"The aircraft went missing while en route from Suabaya to Singapore. Contact was lost about 40 minutes after taking off. Before contact was lost, the pilot requested a route change due to weather conditions. Preliminary indications are the plane ran into poor weather and stalled from FL320. The rudder travel limiter faulted 3 times during the flight. On the fourth fault the captain decided to try resetting the system by pulling circuit breakers as he had seen a maintenance technician do on the ground. This caused the autopilot to disengage causing the plane to bank 54 degrees. The the first officer, who was flying, became disoriented and was slow to correct the bank. He then put the plane into a steep climb that caused the aircraft to stall and eventually crash. Records show that the plane flew with that mechanical problem for 12 months preceding the accident.",12/30/1899 6:18:00 AM,162,7,155,1,162,7,155,8501,0
Antonov An-26,Near Abu adh Dhuhur Air Base,, Syria,1/18/2015,"Near Abu adh Dhuhur Air Base, Syria",Syrian Air Force,,Damascus - Abu Adh Dhuhur,"The army transport crashed while attempting to land in fog after hitting electric lines. The Al Nursa front, claimed that it shot down the aircraft.",,37,2,35,1,37,2,35,,0
ATR 72-600,Taipei,1141, Taiwan,2/4/2015,"Taipei, Taiwan",Transasia,B-22816,Taipei - Kinmen,"After the aircraft took off, it climbed to 1,300 feet, turned left and began losing altitude and speed. It then, banked to 90 degrees, the wingtip striking a taxi on a roadway and crashed into the Keelung River, coming to rest inverted. The pilot  mistakenly throttled down a still-running engine following a glitch with the other engine. Pilot error.",12/30/1899 10:55:00 AM,58,5,53,1,43,4,39,235,0
,Villa Castelli,, Argenina,3/10/2015,"Villa Castelli, Argenina",Private,,,Three French sports figures participating in a reality show were killed along with seven other people when the two helicopters filming the show collided.,,10,2,8,1,10,2,8,,0
Airbus A320-211,Near Digne-Les-Bains,147, France,3/24/2015,"Near Digne-Les-Bains, France",Germanwings,D-AIPX,"Barcelona, Spain - Dusseldorf, Germany","The jetliner crashed in a remote mountainous area of southern France. The plane was obliterated with no wreckage larger than a small car. According to a flight tracker, the plane fell from 38,000 ft. to 11,400 ft. in eight minutes. The aircraft impacted the ground at a high rate of speed.The copilot locked the captain out of the cockpit and put the plane into a controlled descent until it impacted the ground.",12/30/1899 10:53:00 AM,150,6,144,1,150,6,144,9525,0
de Havilland DHC-3T Vazar TurbineOtter,Ella Lake,270, Alaska,6/25/2015,"Ella Lake, Alaska",Promech Air,N270PA,Sightseeing,"The Twin Otter crashed while on a sightseeing tour carrying cruise ship passengers. The plane impacted a granite rock face cliff near Ella Lake, about 25 miles northeast of Ketchikan.",12/30/1899 1:43:00 PM,9,1,8,1,9,1,8,,0
Lockheed C130-B Hercules,Medan,3616, Indonesia,6/30/2015,"Medan, Indonesia",Military - Indonesian Air Force,A-1310,"Medan - Tanjung Pinang, Sumatra.","The military transport crashed shortly after taking off from Soewondo Air Base. Two minutes into the flight, the crew radioed they were having engine problems and returning to the airport. Soon after, the plane went down in a populated area, hitting two empty buildings. The plane was carrying civilian relatives of military personnel.",12/30/1899 11:48:00 AM,122,12,110,1,122,12,110,,19
CASA CN-235-100,Near Agustin Codazzi,C-118, Colombia,7/31/2015,"Near Agustin Codazzi, Colombia",Military - Colombia Air Force,FAC1261,Palanquero AB -Valledupar,The military transport crashed while en route after the crew reported engine problems. The weather was reported to be poor at the time of the crash.,,11,11,0,1,11,11,0,,0
Pacific Aerospace,Ninia,650-0151, Indonesia,8/12/2015,"Ninia, Indonesia",Komala Air,PK-KIG,Wamena - Ninia,"Strong winds forced the crew to enter a holding pattern for 40 minutes. While attempting to land, the pilot touched down half-way down the runway and was unable to stop within the remaining distance. The plane overran the runway and went down an embankment before coming to rest. The copilot was killed.",12/30/1899 8:45:00 AM,6,2,4,1,1,1,0,,0
ATR 42-300,Tangok mountain,102, Papua,8/16/2015,"Tangok mountain, Papua",Trigana Air Service,PK-YRN,Jayapura- Oksibil,The passenger plane crashed into Tangok mountain located in a remote area of Papua's eastern most provence. There was no distress call from the aircraft. High winds and heavy rain was reported in the accident area.,12/30/1899 2:55:00 PM,54,5,49,1,54,5,49,267,0
Hawker Siddeley HS-125,Off Dakar,257062, Senegal,9/5/2015,"Off Dakar, Near Dioubel, Senegal",Senegalair,6V-AIM,Ouagadougou - Dakar,"The air ambulance went missing while on a medical flight. Seven people were on board, including two pilots from Algeria, a flight engineer from Congo, three Senegalese medical crew and a French patient.",12/30/1899 7:08:00 PM,7,2,5,1,7,5,2,71,0
de Havilland Canada DHC 3T Turbine Otter,Iliamna East Wind Lake,61, Alaska,9/15/2015,"Iliamna East Wind Lake, Alaska",Rainbow King Lodge,N928PK,Iliamna - Remote lake,"While on the way to a remote fishing site, the non-sceduled passenger float plane crashed in trees as it attempted to take off. Three of the passengers were killed. The pilot's decision to depart in dark night, visual meteorological conditions over water, which resulted in his subsequent spatial disorientation and loss of airplane control.",12/30/1899 6:24:00 AM,7,1,6,1,3,0,3,,0
Lockheed C-130J Hercules,Jalalabad,5648, Afghanistan,10/2/2015,"Jalalabad, Afghanistan",Military - U.S. Army,Aug-74,Jalalabad - Bagram,"The military transport crashed while taking off from Jalalabad Airport. Five crew members, 5 passengers and 2 on the ground were killed. The MPâ€™s placement of the hard-shell NVG case in front of the yoke blocking forward movement of the flight controls, the distractions experienced by the MP and MCP during the course of the ERO, and the misidentification of the malfunction once airborne.",12/30/1899 12:19:00 AM,11,6,5,1,11,6,5,,2
de Havilland DHC-6 Twin Otter,Near Masamba,741, Indonesia,10/2/2015,"Near Masamba, Indonesia",Avistar Mandari,PK-BRM,Masamba - Makassar,The aircraft went missing minutes after talking off from the airport. Seven passengers and three crew were on board. Wreckage was located on Mount Latimojong.,12/30/1899 2:29:00 PM,10,3,7,1,10,3,7,7503,0
de Havilland DCH-4T Caribou,Near Ilaga,303, Indonesia,10/31/2015,"Near Ilaga, Indonesia",Trigana Air Service,PK-SWW,Timik - Ilaga,"The cargo plane carrying construction materials, hit the slope of a mountain in Iiaga Pass, 12 km south of Ilaga airport and disintegrated upon impact.",12/30/1899 8:30:00 AM,4,4,0,1,4,4,0,,0
Airbus A321-231,Near Hasna,663, Egypt,10/31/2015,"Near Hasna, Egypt",Metrojet,EI-ETJ,Sharem el Sheikh - St. Petersburg,"Approximate 25 minutes after taking off from Sharem el Sheikh airport, radar contact was lost with the airliner. Wreckage was found near Hasna in the north Sinai. The aircraft was flying at about 30,000 feet when contact with the plane was lost. The aircraft was brought down by a homemade explosive device in the left rear cargo hold. The improvised device was equivalent to 2.2 lbs of TNT.",12/30/1899 6:13:00 AM,224,7,217,1,224,7,217,9268,0
Antonov 12BK,Juba,1347704, South Sudan,11/4/2015,"Juba, South Sudan",Allied Services Limited,EY-406,Juba - Paloich,"The cargo plane had just taken off from Juba Airport when it had difficulty gaining altitude and crashed into a hill about half a mile east of Runway 13. South Sudan Authorities reported the aircraft was unable to climb because it was overload, and the captain reported to ATC prior to departure he was carrying 12 passengers.",12/30/1899 9:00:00 AM,43,5,38,1,41,4,37,,0
Aerospatiale AS 350B2 Ecureuil,  Fox Glacier,1132, New Zealand,11/21/2015,"  Fox Glacier, South Valley, New Zealand",Alpine Adventures,ZK-HKU,Sightseeing,"The sightseeing helicopter crashed into a crevasse on Fox Glacier. The wreckage site was 2, 500 feet up the valley with debris scattered across hundreds of feet.",12/30/1899 11:55:00 AM,7,1,6,1,7,1,6,,0
Mil MI-8T,Near Igarka,98206821/59, Russia,11/24/2015,"Near Igarka, Russia",Turuhan Avia,RA-2561,Igarka - Krasnyi Selkub,"Contact with the helicopter, which was heading to an oil pumping station, was lost 15 minutes after taking off. One of the pilots and a mechanic were among the crew members killed.",12/30/1899 10:15:00 AM,26,4,22,1,15,2,13,,0
Canadair CRJ-200,Akkajaure Lake,7010, Sweden,1/8/2016,"Akkajaure Lake, Norrbotten, Sweden",West Air Sweden,SE-DUX,Oslo - TromsÃ¸,"While en route, the crew of the cargo plan sent a unintelligible mayday message. The plane went into a near vertical dive and disintegrated on impact with the ground. The PC ,while flying at night, one Inertial Reference Unit failed and suddenly the instruments for the pilot flying showed the plane pitching steeply up, which he tried to correct.  Due to the plane's unusual attitude, the instruments went into a ""declutter"" mode, which among other things removed the indication that the two pilots' instruments were conflicting.",12/30/1899 12:20:00 AM,2,2,0,1,2,2,0,294,0
Airbus A321-111, Near Mogadishu,642, Somalia,2/2/2016," Near Mogadishu, Somalia",Daallo Airlines,SX-BHS,Mogadishu - Djibouti,Shortly after leaving Mogadishu Airport a loud bang was heard in the cabin. There was a loss of pressurization and the plane made an emergency landing back at the airport. A large hole was observed in the side of the fuselage. A bomb containing TNT was detonated in the cabin. The bomber was sucked out of the plane and killed.,,72,,72,1,1,,1,3159,0
de Havilland DHC-6 Twin Otter 400,Dana,926, Nepal,2/24/2016,"Dana, Nepal",Tara Air,9N-AHH,Pokhara - Jomsom,"The plane crashed in the mountainous northern region of Nepal half-way through a 20 minute flight to Jomsom. The plane was relatively new. There was wind and dense fog at the time of the accident. It was determined that the crew deviated from the prescribed route to the left while descending to Jomsom due to the presence of clouds in the area. In doing so, the aircraft descended to 10,000 feet in clouds while flying under visual flight rules (VFR). When the GPWS warning sounded, the crew failed to react immediately and the aircraft hit a cliff at the altitude of 10,700 feet before coming to rest at the altitude of 10,982 feet.",12/30/1899 8:15:00 AM,23,3,20,1,23,3,20,193,0
PAC 750XL,250 miles northwest of Kathmandu,160, Nepal,2/26/2016,"250 miles northwest of Kathmandu, Nepal",Kasthamandap Airlines,9N-AJB,Nepalganj - Jumla,The plane went into a steep descent and crashed onto a field in the mountains of the Kalikot district. The plane was reported to be trying to make an emergency landing. Both the pilot and copilot were killed and nine passengers were injured.,,11,2,9,1,2,2,0,,0
Antonov AN-26,Cox's Bazar,13408, Bangladesh,3/9/2016,"Cox's Bazar, Bangladesh",True Aviation Ltd.,S2-AGZ,Cox's Bazar - Jessore,"The cargo plane, carrying shrimp, crashed less than 5 minutes after taking off from Cox's Bazar Airport. The pilot declaired an emergency and tried to return to the airport but crashed into the shallow waters of the Bay of Bengal just offshore.",12/30/1899 9:05:00 AM,4,4,0,1,3,3,0,,0
IAI Attava 201,Fatima Pastaza,90, Ecuador,3/15/2016,"Fatima Pastaza, Ecuador",Military - Ecuador Army,E-206,Training,"The crew was conducting sky diving exercises when, an hour into the flight they radioed they were returning to base due to deuterating weather conditions. Shortly thereafter the plane went out of control and crashed in a wooded area. Nineteen passengers and the 3 pilots were killed.",12/30/1899 2:30:00 PM,22,3,19,1,22,3,19,,0
	Boeing 737-8KN (WL),	Rostov-on-Don,40241/3517, Russia,3/19/2016,"	Rostov-on-Don, Russia",Flydubai,A6-FDN,Dubai - Rostov,"At 2237, at Rostov-on-Don, the crew aborted a landing attempt to Runway 22 due to poor weather conditions. The plane was instructed to enter a holding pattern at 15,000 feet where it remained for a little under two hours. During a second landing attempt, at 3.4 miles from the runway and an altitude of 1,500 feet the crew executed a second go around and climbed to 3,975 feet, after which, the plane went out of control in a nose down attitude and hit the runway at high rate of speed and disintegrated.",12/30/1899 3:41:00 AM,62,7,55,1,62,7,55,981,0
Mitsubishi MU-2B 60 Marquise,Magdelen Islands,1552S-A, Canada,3/29/2016,"Magdelen Islands, Quebec, Canada",Marquise Aviation Corp.,N246W,Montreal - Iles-de-la-Magdelen,"The plane crashed while on approach to Iles-de-la-Magdelen Airport in poor weather conditions. Former Canadian cabinet minister Jean Lapierre, his wife, 2 brothers and sister were among those killed. All five were on the way to a funeral for Lapierre's father. The pilot was flying the plane too fast and too high while on approach to land. The pilot's decision to continue an unstable approach.",12/30/1899 11:40:00 AM,7,2,5,1,7,2,5,,0
Bell 206L,Near Pigeon Forge,45081, Tennessee,4/4/2016,"Near Pigeon Forge, Tennessee",Smoky Mountain Helicopters,N16760,Sightseeing,The helicopter crashed in a wooded hillside while on a sightseeing flight..,12/30/1899 3:30:00 PM,5,1,4,1,5,1,4,,0
Britten-Norman Islander,Kiunga,3010, Papua New Guinea,4/13/2016,"Kiunga, Papua New Guinea",Sunbird Aviation,P2-SBC,Oksapmin - Kiungaraining,"While on approach, the plane stalled and crased in a wooded area 1 km short of the runway. The accident took place in stormy weather.Three survived, but later died of their injuries. Possible engine failure.",12/30/1899 2:20:00 PM,12,1,11,1,12,1,11,,0
	Eurocopter EC225LP Super Puma M2+,Sorta,2721, Norway,4/29/2016,"Sorta, Norway",	CHC Helikopter Service, 	LN-OJF,Gullfflex B - Bergen,The helicopter crashed on the rocky shores of Tuoy Island whle returning to Bergen from Oil platform Gullflex B. All 11 passengers and 2 pilots were killed. A video taken by an eyewitness shows the main rotor separating from the helicopter before it crashed.,12/30/1899 11:50:00 AM,13,2,11,1,13,2,11,,0
Airbus A320-232,175 miles off the Egyptian coast,2088,175 miles off the Egyptian coast,5/19/2016,175 miles off the Egyptian coast,EgyptAir,SU-GCC,Paris - Cairo,"The plane was en route from Paris to Cairo, flying at an altitude of 38,000 ft. when it made a sharp 90 degree turn to the left, followed by a 360 degree turn to the right as it lost altitude. The aircraft crashed into the Mediterranean Sea approximately 175 miles off the Egyptian coast. Two days after the accident, it is confirmed that ACARS messages reported smoke on board, apparently in the lavatory and also in a technical compartment located under the cockpit.",12/30/1899 2:49:00 AM,66,10,56,1,66,10,56,804,0
Antonov 32,Bay of Bengal,809, Indian Ocean,7/22/2016,"Bay of Bengal, Indian Ocean",Indian Air Force,K2743,Chennai (Tambram AFB) - Port Blair,"The aircraft was taking part in fire fighting in the region of Bayanday, when under unknown circumstances, it impact trees and crashed in a wooded area.",,29,6,23,1,29,6,23,,0
Kubicek BB85Z Hot Air Balloon,Near Lockhart,, Texas,7/30/2016,"Near Lockhart, Texas",Heart of Texas Hot Air Balloon Rides,N2469L,Sightseeing Fentress Airpark,The hot air balloon struck power lines and crashed in a field. The pilot was likely impaired by opioids and sedatives when he ignored weather warnings and flew the ride into a power line.,12/30/1899 7:42:00 AM,16,1,15,1,16,1,15,,
Boeing 777-31H,Dubai,32700/434, United Arab Emirates,8/5/2016,"Dubai, United Arab Emirates",Emirates,A6-EMW,"Thiruvanthapuram, India - Dubai, UAE","After being cleared to land, the crew informed Dubai tower they were going around. Immediately after being cleared to go-around, the aircraft impacted the runway, losing an engine and catching fire. The plane slid to a stop and all aboard evacuated the plane safely. One fire fighter was killed while fighting the fire.",12/30/1899 12:38:00 PM,300,18,282,1,0,0,0,521,1
Cessna 208 Grand Caravan,Russian Mission,208B5088, Alaksa,8/31/2016,"Russian Mission, Alaksa",Hageland Aviiation,	N752RV,	Russian Mission- Marshall,A midair collision occurred between a Cessna 208 and a Piper PA-18 Super Cub just northwest of Russian Mission Airport. Three on the Cessna and 2 on the Piper were fatally injured. Rough terrain complicated removal of the victims.,12/30/1899 11:00:00 AM,5,1,4,1,5,1,4,3190,0
Swearingen SA277-AT Expditer,Malta International Airport,AT-577,Malta International Airport,10/24/2016,Malta International Airport,AE Aviation,N577MX,Malta-Luqa - Malta-Luga,"Shortly after taking off, the plane banked to the right, lost altitude and impacted the ground just past the airport. French ministry officials on board were attempting to trace routes of illicit trafficking both human and drug, leaving Libya.",12/30/1899 7:20:00 AM,5,2,3,1,5,2,3,,0
Avro RJ-85,Near La Union,E-2348, Colombia,11/28/2016,"Near La Union, Colombia",LAMIA Bolivia,CP-2933,"Santa Cruz, Bolivia - Medellin,Colombia","The crew of the chartered passenger jet declared an emergency as it approached La Union, reporting they ran out of fuel and had an electrical failure. Soon after the plane impacted mountainous terrain approximately 22 miles south of Medellin. Members of the Brazilian Chapecoense soccer team were among those killed. Among the errors made which caused the crash were the decisions to let the plane take off without enough fuel to make the flight safely and then to not stop midway to refuel. The pilot also did not report the plane's emergency until it was too late. In addition, as the fuel was running out, they extended the flaps and gear just before the engines stopped, but this caused enough drag that they could no longer glide to the airport. Since the captain was part owner of the small airline, he was motivated to cut fuel costs because the company was in financial trouble.",12/30/1899 10:00:00 PM,77,9,68,1,71,7,64,2933,0
M28 Skytruck,Near Tanjung Pinanga,, Indonesia,12/3/2016,"Near Tanjung Pinanga, Indonesia",Indonesian Police,P-4201,Pangkal Pinang - Batam Island,"The Indonesian police aircraft crashed in the waters off Kabupaten Lingga, Riau Islands during a 1.5 hour scheduled flight.",12/30/1899 11:22:00 AM,13,5,8,1,13,5,8,,0
ATR-42-500,Near Havlien,663, Pakistan,12/7/2016,"Near Havlien, Pakistan",Pakistan International Airlines,AP-BHO,Chitral - Islamabad,"While en route, the crew made a mayday call reporting they lost one of two engines. Contact was lost and the plane soon after crashed into mountains near Abbottabad and Havelian.",12/30/1899 4:20:00 PM,48,6,42,1,48,6,42,661,0
 	Lockheed C-130H Hercules,Near Wamena,4785, Indonesia,12/18/2016,"Near Wamena, Papua, Indonesia",Indonesian Air Force,  	A-1134,Timika - Warmera,The military plane crashed into mountainous terrain in an eastern section of the country while attempting to land at Warmera.,12/30/1899 6:10:00 AM,13,3,10,1,13,3,10,,0
Boeing 727-2JOF,Puerto Carreno,21105/1158, Colombia,12/20/2016,"Puerto Carreno, Colombia",Aerosucre Colombia,HK-4544,Puerto Carreno - Bogota,"After taking off on runway 24, the cargo jet failed to lift off properly, just cleared the perimeter fence, became airborne, turned to the right, lost altitude and crashed in an open field. One engine suffered a flame-out.",12/30/1899 5:23:00 PM,6,6,0,1,5,5,0,,0
Tupolev 154B-2,Near Adar,83A-572, Russia,12/25/2016,"Near Adar, Russia",Russian Air Force,RA-85572,Chkalovsky AB -Ader - Latakia,"The plane, carrying the Alexandrov Emsemble choir, reporters and service men, made a climbout out of Ader, turned back towards the coastline and crashed into the waters of the Black Sea about a mile offshore.",12/30/1899 5:27:00 AM,92,8,84,1,92,8,84,,0
Boeing 747-412F,Bishkek,32897/1322, Kyrgyzstan,1/16/2017,"Bishkek, Kyrgyzstan",My Cargo Airlines (ACT Airlines),TC-MCL,Hong Kong - Bishkek - Istanbul,"While approaching Bishkek for a fuel stop, the cargo plane crashed past the end of the runway destroying 23 houses. The weather at the time of the accident was freezing fog.",12/30/1899 7:19:00 AM,4,4,0,1,4,4,0,6491,35
Beechcraft B200 Super King Air,Melbourne,BB1544, Australia,2/21/2017,"Melbourne, Victoria, Australia",Australian Corporate Jet Centres PTY. LTD,VH-ZCR,Melbournen - King Island,"The charter flight was just seconds into it's flight when it was observed flying low, before it nose diving into a building at a shopping center and bursting into flames. The pilot made two mayday calls before the aircraft crashed. It is reported the plane suffered engine failure.",12/30/1899 9:00:00 AM,5,1,4,1,5,1,4,,0
Sikorsky S-76C,Istanbul,760717, Turkey,3/10/2017,"Istanbul, Turkey",Swan Aviation,TC-HEZ,Istanbul - Bozuyuk,"The helicopter crashed on a highway after hitting a TV tower, six minutes after taking off. The helicopter was carrying an executive of the Eczacibasi group of companies, four of his Russian guests and two pilots.",12/30/1899 11:20:00 AM,7,2,5,1,7,2,5,,0
Britten-Norman BN2 Islander,Mautaer,24, Zimbabwe,3/27/2017,"Mautaer, Zimbabwe",ETA Air Charter,C9-AOV,"Beira, Mozambique - Harare, Zimbabwe",While en route the air transport plane collided with Mount Vumba in poor weather conditions.,12/30/1899 8:15:00 AM,6,2,4,1,6,2,4,,0
Shorts 300-200,Charleston,SH-3029, West Virginia,5/5/2017,"Charleston, West Virginia",Air Cargo Carriers,N334AC,Louisville - Charleston,"The cargo plane was destroyed when it crashed while attempting to land on runway 05 at Charleston Yeager Airport. After touching down hard, the aircraft when off the left side of the runway and fell into a wooded ravine.",12/30/1899 6:53:00 AM,2,2,0,1,2,2,0,,0
Let L-410UVP-E20,Tenzing,2917, Nepal,5/27/2017,"Tenzing, Nepal",Summit Air,9N-AKY,,"The cargo plane crashed short of the runway threshhold whille attempting to land at Lukla-Tenzing Airport, coming to rest on a steep wooded area close to the airport perimeter fence. Both the pilot and copilot were killed.",12/30/1899 2:02:00 PM,3,3,0,1,2,2,0,409,0
Shaanxi Y-8F-200W,Off Dawei,, Myanmar,6/7/2017,"Off Dawei, Myanmar",Military - Myanmar Air Force,5820,Myeik - Yangon,"The transport plane carrying military personnel and their familiies, left Myeik for a return trip to Yangon. The aircraft was at FL 180 when contact by air traffic control was lost 29 minutes into the flight. The plane crashed about 20 miles west of Dawei in the Andaman Sea.  The aircraft climbed to FL180 and proceeded along the coast. It passed two areas with cumulonimbus clouds and the flight crew activated the wing anti-icing. At 13:31 hours an alarm was triggered, indicating engine air inlet icing. At the same time, while flying in the vicinity of another area with cumulonimbus clouds, cross wind increased from 8 knots to 42 knots. In these conditions the aircraft stalled and entered a spin. The flight crew failed to recover from the spin and the aircraft impacted the sea.",12/30/1899 1:35:00 PM,122,14,108,1,122,14,108,,0
Socata TB1-10 Tobago,Mount Gambier,1518, South Australia,6/28/2017,"Mount Gambier, South Australia",Angel Flight,VH-YTM,Suttontown - Adelaide,The medical flight crashed 3 km south of Mount Gambier Airport in heavy fog. The plane had just taken off and was bound for Adelaide with a patient and her daughter. Angel Flight is used to help people in rural areas access medical treatment.,12/30/1899 10:15:00 AM,3,1,2,1,3,1,2,,0
Lockheed KC-130T Hercules,Near Itta Bena,382-5303, Mississipi,7/10/2017,"Near Itta Bena, Mississipi",USMC,165000,"Cherry Point, NC - El Centro, CA","While en route, the Marine Corps transport suffered an explosion and structural failure at 20,000 ft., spiraled down and crashed into a soybean field. The investigation determined the cause of the mishap to be an inflight departure of the number four blade from the number two propeller.",12/30/1899 4:00:00 PM,16,2,14,1,16,2,14,,0
Antonov An-12B,Near Kinshasa,5343606, Congo,9/30/2017,"Near Kinshasa, Congo",Air Force of the Democratic Republic of the Congo,EX-001,"Kinshasa, - Bunia",The aircraft departed Kinshasa and crashed about 20 km NE of Kinshasa.,12/30/1899 7:30:00 AM,8,3,5,1,8,3,5,,0
Embraer EMB-120ER,Near CuÃ­lo,120082, Angola,10/12/2017,"Near CuÃ­lo, Angola",Guicango,D2-FDO,Dundo - Luanda,"The air ambulance crashed en route shortly after the pilot reported a malfunction in the engine, followed by fire.",12/30/1899 5:15:00 PM,7,3,4,1,7,3,4,,0
Antonov AN-26-100,Abidjan,3204, Ivory Coast,10/14/2017,"Abidjan, Ivory Coast",Valan International Cargo Charter,ER-AVB,Burkina Faso - Abidjan,"The cargo plane, carrying French military cargo, crashed in shallow waters along the coastline while on final approach to Abidjan-Felix Houphouet Boigny Airport. The plane was carrying 6 Moldovan crew members and 4 French army personnel. Weather reports indicate that a thunderstorm was passing the airport at the time of the accident.",12/30/1899 8:30:00 AM,10,6,4,1,4,0,4,,0
Cessna 208B Grand Caravan,Empakaai,208B-0476, Tanzania,11/15/2017,"Empakaai, Tanzania",Costal Aviation,5H-EGG,Arusha - Serengeti,The chartered Cessna was flying tourists from Kilimanjaro to Arusha. The plane circled for 30 minuets due to poor weather conditions before crashing.,12/30/1899 8:00:00 AM,11,1,10,1,11,1,10,,0
ATR42-320,Near Fond-du-Lac,240, Saskatchewan,12/13/2017,"Near Fond-du-Lac, Saskatchewan",West Wind Aviation,C-GWEA,Fond-du-Lac - Stony Rapids,"Shortly after taking off, the aircraft lost altitude and descended into trees. All 22 passengers and 3 crew survived but there were several injuries. One passenger died two weeks after the accident.  During the descent, the aircraft encountered icing conditions and the anti-icing and de-icing systems were activated. When the de-icing and anti-icing systems were turned off, residual ice remained on portions of the aircraft.",12/30/1899 6:15:00 PM,25,3,22,1,1,0,1,,0
Cessna 208B Grand Caravan,Punta Islita,208B-0900, Costa Rica,12/31/2017,"Punta Islita, Costa Rica",Naure Air,TI-BEI,Punta Islita - San Jose,"The passenger plane crashed 10 minutes after taking off from Punta Islita into a wooded area. Ten American passengers and crew of 2 were all killed. On 1/12/2018 the companies Air Operator certificate was suspended,  According to a hotel worker that was at the airport during the departure, when the accident airplane took off, it did not make the same right turn as the prior airplane but continued on runway heading into terrain.",12/30/1899 12:16:00 PM,12,2,10,1,12,2,10,,0
Shaanxi Y-8GX-3,	Zhengchang,, Guizhou Province,1/29/2018,"	Zhengchang, Suiyang County, Guizhou Province",People's Liberation Army Air Force,30513,Training,"While completing a training mission, the airplane crashed in unknown circumstances near the Zhengchang village, in the Guizhou Province.",,12,5,7,1,12,5,7,,0
